GBR_ID,GBR_NAME,X_COORD,Y_COORD
11239,Star Reef,143.86808777,-11.95340919
11240,Yule Detached Reef,143.98838806,-11.94892406
11241,Job Reef,143.8841095,-11.97967243
12007,Nomad Reef,143.37467957,-12.14226151
12008,Tyrrel Reefs,143.10850525,-12.19167805
12009,Pickard Reef,143.13264465,-12.23193836
12010,Kay Reef,143.28630066,-12.23149204
12011,Beesley-Baird Reef,143.20640564,-12.24257278
11244F,Great Detached Reef (No 6),144.01324463,-11.76182079
11244G,Great Detached Reef (No 7),144.02200317,-11.77238941
11244H,Great Detached Reef (No 8),144.02709961,-11.7682209
12001,Haggerston Reef,143.30062866,-12.02940845
12002,Bannan Reef,143.2943573,-12.0694294
12003A,Mason Reef,143.47735596,-12.10138035
12004,Moody Reef,143.26463318,-12.09915161
12005,Young Reef,143.21852112,-12.12665844
12006,Laurel Reef,143.27642822,-12.13950443
12027C,Fison Reefs,143.54585266,-12.37409687
12037,Wishbone Reef,143.96459961,-12.065135
12043A,Martha Ridgway Reef (North),143.8079834,-12.12002373
12043B,Martha Ridgway Reef (South),143.81086731,-12.14468956
12012,Piper Reef,143.23829651,-12.25040245
12013,Inset Reef,143.27497864,-12.24727631
12014,Hazel Reef,143.29975891,-12.27168751
12015,Ada Reef,143.12567139,-12.28651428
12016A,Gallon Reef,143.43336487,-12.31373787
12016B,Forbes Islands Reef,143.40895081,-12.29255772
12017,Lion Reef,143.18287659,-12.30539131
12018,Daniell Reef,143.19723511,-12.3118763
12019,North Pint Patch,143.34402466,-12.33054447
12020,South Pint Patch,143.35838318,-12.35092163
12021,Andrew Reef,143.24212646,-12.35507584
12023,Kangaroo Shoals,143.27355957,-12.38898468
12026,Kemp Rocks Reef,143.36100769,-12.43950653
12027,Quoin Reef,143.49861145,-12.4230938
12027A,Eel Reef,143.47608948,-12.473526
12096,Dolphin Reef,143.52960205,-12.55867386
12098,Second Small Reef,143.79449463,-12.58212376
12099,Southern Small Detached Reef,143.86631775,-12.58349609
12052A,William Reef (East),143.85296631,-12.22222042
12052B,William Reef (West),143.84992981,-12.22099686
12053,Henry Reef,143.81919861,-12.22263622
12054,Lloyds Reef,143.8742218,-12.24046326
12056,Mantis Reef,143.89825439,-12.28798294
12058,Ferguson Reef,143.82704163,-12.34038258
12061,Lagoon Reef,143.75706482,-12.38443565
12067,Northern Small Detached Reef,143.84637451,-12.41513443
12072,Middle Reef,143.39012146,-12.51870823
12073,Pigeon Reef,143.29045105,-12.5129776
12076,Rocky Island Reef,143.39006042,-12.58631897
12078,Restoration Island Reef,143.44673157,-12.62329578
12081,Edward Shoal,143.4499054,-12.65841198
12084,Lloyd Island Reef,143.39788818,-12.75452995
12085,Hazelgrove Reefs,143.48176575,-12.75479412
12086,May Reef,143.46621704,-12.77821445
12088,Sunter Reef,143.4127655,-12.77997589
12089,Exit Reef,143.48699951,-12.78309822
12091,Waight Bank,143.44172668,-12.81111717
12093,Bunker Reef,143.60488892,-12.52017689
12094,Long Sandy Reef,143.79371643,-12.53452587
12122,Sunk Reef,143.64582825,-12.84803772
12125,Rocky Island Reef,143.55001831,-12.88636208
12126,Frederick Patches,143.62652588,-12.87858677
12129,Chapman Reef,143.60002136,-12.88673019
12132,Allen Reef,143.5383606,-12.92708874
12136,Hammond Reef,143.54750061,-12.94077492
12102,Curd Reef,143.54925537,-12.58115005
12104,Log Reef (North),143.83570862,-12.63453674
12105,Burke Reef,143.56344604,-12.63278866
12106,Tannadice Shoal,143.52445984,-12.66204357
12107,Log Reef (South),143.84440613,-12.68454933
12111,First Small Reef,143.8079071,-12.72177219
12112,Ape Reef,143.61979675,-12.69607735
12115,Zenith Reef,143.61302185,-12.76817226
12118,Bligh Reef,143.83557129,-12.83273792
12119,Wye Reef,143.61532593,-12.81010723
12120,Lansdown Reef,143.54605103,-12.81497765
13036,Throne Shoals,143.73945618,-13.23858547
13041,Celebration Reef,143.69355774,-13.27611446
12143,Cat Reef,143.84963989,-12.9975729
12145,Sherrard Reef,143.61448669,-12.98971653
13002,Derry Reef,143.85891724,-13.02247143
13004,Wasp Reef,143.53987122,-13.0296793
13005,Ham Reef,143.87171936,-13.03850269
13006,Osborne Reef,143.62623596,-13.04178429
13008,MacNamara Patch,143.64311218,-13.05144787
13009,Wilsen Shoal,143.86651611,-13.05327892
13012,Stork Reef,143.55630493,-13.06491184
13015,Franklin Reef,143.8979187,-13.0757618
13020,Sykes Reef,143.55810547,-13.10892296
13021,Colclough Reef,143.72366333,-13.10724926
13022,New Reef,143.65786743,-13.11120987
13023,Dart Shoal,143.74864197,-13.13865376
13024,Glennie Reef,143.64208984,-13.15210152
13025,Waterwitch Reef,143.61578369,-13.15098572
13026,Gertrude Reef,143.6608429,-13.16221333
13027,Jubilee Reef,143.76197815,-13.16965389
13028,Tijou Reef,143.95910645,-13.15960598
13031,Night Reef,143.57391357,-13.18373013
13032,Diamond Reign Reefs,143.6945343,-13.20453548
13034,Binstead Reef,143.57070923,-13.21789646
17014,Hedley Reef,146.48373413,-17.22857094
17015,Jackson Patches,146.30291748,-17.27947807
18016,Virginia Chadwick Reef,146.83854675,-18.00399208
18017,Reg Ward Reef,146.7850647,-18.03201485
18018,Otter Reef,146.55886841,-18.05222702
16020A,Undine Reef (West),145.68716431,-16.12334633
16020B,Undine Reef (East),145.77542114,-16.11724091
16023,Rudder Reef,145.69342041,-16.19220161
16024,Chinaman Reef,145.79154968,-16.21309662
16071,Moore Reef,146.21296692,-16.87431526
16072,North West Reef,146.38887024,-16.87688828
16073,Elford Reef,146.24856567,-16.9116478
16074,Briggs Reef,146.20672607,-16.93803215
16075,Channel Reef,146.44483948,-16.94465446
17016A,McCulloch Reef (No 1),146.44169617,-17.28788376
17016B,McCulloch Reef (No 2),146.46572876,-17.27497292
17017,Gibson Reef,146.35955811,-17.30199242
17018A,Howie Reef,146.38508606,-17.39389038
18019,Barnett Patches,146.85308838,-18.06010437
18020,Duncan Reef,146.78665161,-18.08373451
16025,Opal Reef,145.8896637,-16.22089005
16026,Tongue Reef,145.79255676,-16.3209343
16028,Low Islands Reef,145.56443787,-16.38615227
16079,Outer Shoal,146.51507568,-16.99359322
16080,Korea Reef,145.55314636,-16.55483627
16081,Yule Reef,145.53016663,-16.56002045
16082,Garioch Reef,145.5319519,-16.59369659
17018B,Arthur Patches,146.33929443,-17.38754654
17023,Cayley Reef,146.45716858,-17.47678375
18024,Britomart Reef,146.72647095,-18.22864151
16029,Batt Reef,145.76745605,-16.41407585
16030,Norman Reef,145.99674988,-16.42810822
16031,Satellite Reef,145.68730164,-16.44052315
16032,Saxon Reef,145.99028015,-16.46511841
16033,Linden Bank,146.00245667,-16.30648041
